"name","iron","magnesium","manganese","phosphorus","potassium","zinc","calcium"
"Asparagus","21","14","15","52","202","54","24"
"Broccoli","73","21","21","66","316","41","47"
"Cucurbita","35","17","17","38","282","29","0"
"Spinach","27","79","89","49","558","53","99"
