"name","vitamin_a","thiamine_b1","riboflavin_b2","niacin_b3","vitamin_b6","vitamin_c","vitamin_k"
"Asparagus","71","14","14","98","97","56","41"
"Broccoli","14","71","12","64","18","90","10"
"Cucurbita","10","48","14","49","29","12","30"
"Spinach","93","78","19","72","20","28","20"
